Date,Beach,Presence,Council_Report,Beach_Key,Surf_Club,slsa_branch,state,Lat,Lon,Length,Orient,Embayment,SST,Current Speed,Current Direction,Wind Speed,Wind Direction
3/02/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,23.77483464,0.298972534,6.152887982,6.628553417,19.75905939
3/03/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,23.75148798,0.555698398,6.812780859,9.317734626,22.7559782
3/04/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,23.01217709,0.514176659,1.768666345,8.408741862,29.53029137
3/05/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,22.80983937,0.518547555,3.475369047,6.404401542,22.38330312
3/06/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,22.98883043,0.698814493,7.149845243,7.070010473,22.01107505
3/07/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,22.14056846,0.633594024,4.392355385,6.970258351,26.68471637
3/08/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,22.24173732,0.70439999,7.568397022,7.378906365,30.93254591
3/09/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,22.83318603,0.750904312,11.51087333,5.943300717,31.13382429
3/10/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,22.38181728,0.701887104,6.065077278,7.547772207,20.20435725
3/11/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,22.584155,0.644369763,13.39124069,2.763601555,57.80003566
3/12/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,24.10168788,0.588408022,6.133443453,6.511994731,24.13580888
3/13/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,24.24176784,0.56268162,9.584934478,7.080720188,28.32287741
3/14/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,23.80596352,0.427284963,11.07718721,5.033608968,24.77514057
3/15/2016,Maroubra ,0,res_none,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,25.19898089,0.399946784,31.61609489,5.652289609,171.0410969
