SST,Current Speed,Current Direction,Wind Speed,Wind Direction,Presence,April,August,December,February,January,July,June,March,May,November,October,September
23.77483464,0.261573594,6.152887982,2.031898236,19.75905939,0,0,0,0,0,0,0,0,1,0,0,0,0
23.01217709,0.414871832,1.768666345,2.241639242,29.53029137,0,0,0,0,0,0,0,0,1,0,0,0,0
22.80983937,0.417754322,3.475369047,2.002074626,22.38330312,0,0,0,0,0,0,0,0,1,0,0,0,0
23.80596352,0.355774012,11.07718721,1.797345334,24.77514057,0,0,0,0,0,0,0,0,1,0,0,0,0
25.19898089,0.336434224,31.61609489,1.894961098,171.0410969,0,0,0,0,0,0,0,0,1,0,0,0,0
25.14450535,0.235194997,35.53767779,2.272840073,159.3426671,0,0,0,0,0,0,0,0,1,0,0,0,0
24.98107873,0.281600475,26.10823341,1.83691931,140.6270398,0,0,0,0,0,0,0,0,1,0,0,0,0
24.71648325,0.325063703,9.327614511,2.022047355,22.91758456,0,0,0,0,0,0,0,0,1,0,0,0,0
24.41297668,0.13982883,34.14247827,2.229172447,181.1966751,0,0,0,0,0,0,0,0,1,0,0,0,0
25.19898089,0.124814392,44.44194187,2.253789419,165.1294728,0,0,0,0,0,0,0,0,1,0,0,0,0
24.79430545,0.078419589,45.60628192,2.292214585,177.0973949,0,0,0,0,0,0,0,0,1,0,0,0,0
24.44410556,0.12170206,175.9432621,2.253176197,195.6253783,0,0,0,0,0,0,0,0,1,0,0,0,0
24.89547431,0.304522752,6.893494893,1.60549284,27.72187634,0,0,0,0,0,0,0,0,1,0,0,0,0
24.90325653,0.28086248,12.83294741,0.948922183,176.9822583,0,0,0,0,0,0,0,0,1,0,0,0,0
25.5958741,0.367466972,14.77162149,1.202858059,73.0032216,0,0,0,0,0,0,0,0,1,0,0,0,0
25.18341645,0.25398355,18.97040781,1.310565405,160.9465561,0,0,0,0,0,0,0,0,1,0,0,0,0
25.19119867,0.429878468,15.3550614,1.835134097,238.30247,0,0,0,0,0,0,0,0,1,0,0,0,0
24.93438541,0.393507259,16.09483682,1.46393322,199.4076552,0,1,0,0,0,0,0,0,0,0,0,0,0
24.71648325,0.331997561,7.88516957,1.913847399,5.75426663,0,1,0,0,0,0,0,0,0,0,0,0,0
24.29624338,0.204277346,22.31718652,1.57891159,166.2645684,0,1,0,0,0,0,0,0,0,0,0,0,0
24.070559,0.168837421,24.82161993,1.494867581,105.6372615,0,1,0,0,0,0,0,0,0,0,0,0,0
23.8760035,0.108100054,15.187949,1.847630016,27.91976643,0,1,0,0,0,0,0,0,0,0,0,0,0
23.58806137,0.220660036,359.6458897,2.400847173,16.85451697,0,1,0,0,0,0,0,0,0,0,0,0,0
23.25342591,0.071971845,74.82708465,1.571438509,153.2337276,0,1,0,0,0,0,0,0,0,0,0,0,0
23.01217709,0.104155799,24.99764733,0.934262648,240.800035,0,1,0,0,0,0,0,0,0,0,0,0,0
22.86431491,0.108195566,27.86544889,1.115167301,227.1877637,0,1,0,0,0,0,0,0,0,0,0,0,0
22.89544379,0.061005175,11.4734785,1.478606748,270.463274,0,1,0,0,0,0,0,0,0,0,0,0,0
22.75536384,0.124293333,176.8274986,1.902870105,163.0414836,0,1,0,0,0,0,0,0,0,0,0,0,0
21.96935962,0.076751982,211.8659777,1.198422437,121.9199794,0,1,0,0,0,0,0,0,0,0,0,0,0
21.93044852,0.048939024,299.5286718,1.492807614,27.59032627,0,1,0,0,0,0,0,0,0,0,0,0,0
